rank,category,personName,country,city,source,industries,selfMade,gender,lastName,firstName,finalWorth,birthYear,birthMonth,birthDay,cpi_country,gdp_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,
425,Finance & Investments,Frank Lowy,Israel,Tel Aviv,Investments,Finance & Investments,TRUE,M,Lowy,Frank,6000,1930,10,22,108.15,"$395,098,666,122 ",82.8,23.1,25.3,9053300,
425,Finance & Investments,Michael Milken,United States,Los Angeles,Investments,Finance & Investments,TRUE,M,Milken,Michael,6000,1946,7,4,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
425,Technology,David Steward,United States,St. Louis,IT provider,Technology,TRUE,M,Steward,David,6000,1951,7,2,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
425,Fashion & Retail,Les Wexner & family,United States,New Albany,Retail,Fashion & Retail,TRUE,M,Wexner,Les,6000,1937,9,8,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
437,Real Estate,Cai Kui,China,Chengdu,Real estate,Real Estate,TRUE,M,Cai,Kui,5900,1963,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
437,Diversified,Jaran Chiaravanont,Thailand,Bangkok,Diversified,Diversified,FALSE,M,Chiaravanont,Jaran,5900,1930,4,1,113.27,"$543,649,976,166 ",76.9,14.9,29.5,69625582,
437,Finance & Investments,Andreas Halvorsen,United States,Darien,Hedge funds,Finance & Investments,TRUE,M,Halvorsen,Andreas,5900,1961,4,23,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
437,Finance & Investments,Antony Ressler,United States,Los Angeles,Finance,Finance & Investments,TRUE,M,Ressler,Antony,5900,1960,10,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
437,Food & Beverage,Tsai Eng-meng,China,Shanghai,"Food, beverages",Food & Beverage,FALSE,M,Tsai,Eng-meng,5900,1957,1,15,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
442,Finance & Investments,Josh Harris,United States,Miami,Private equity,Finance & Investments,TRUE,M,Harris,Josh,5800,1964,12,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
442,Healthcare,Niels Peter Louis-Hansen,Denmark,Humlebaek,Medical devices,Healthcare,FALSE,M,Louis-Hansen,Niels Peter,5800,1947,10,25,110.35,"$348,078,018,464 ",81,32.4,23.8,5818553,
442,Healthcare,Patrick Soon-Shiong,United States,Los Angeles,Pharmaceuticals,Healthcare,TRUE,M,Soon-Shiong,Patrick,5800,1952,7,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
445,Metals & Mining,Rinat Akhmetov,Ukraine,Donetsk,"Steel, coal",Metals & Mining,TRUE,M,Akhmetov,Rinat,5700,1966,9,21,281.66,"$153,781,069,118 ",71.6,20.1,45.2,44385155,
445,Healthcare,John Brown,United States,Atlanta,Medical equipment,Healthcare,TRUE,M,Brown,John,5700,1934,9,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
445,Energy,Arthur Irving,Canada,Saint John,Oil,Energy,FALSE,M,Irving,Arthur,5700,1930,1,1,116.76,"$1,736,425,629,520 ",81.9,12.8,24.5,36991981,
445,Real Estate,Fredrik Lundberg,Sweden,Stockholm,"Real estate, investments",Real Estate,FALSE,M,Lundberg,Fredrik,5700,1951,8,5,110.51,"$530,832,908,738 ",82.5,27.9,49.1,10285453,
445,Construction & Engineering,Thomas Schmidheiny,Switzerland,Jona,Cement,Construction & Engineering,FALSE,M,Schmidheiny,Thomas,5700,1945,12,17,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
445,Finance & Investments,Daniel Ziff,United States,New York,Investments,Finance & Investments,FALSE,M,Ziff,Daniel,5700,1971,11,2,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
445,Finance & Investments,Dirk Ziff,United States,North Palm Beach,Investments,Finance & Investments,FALSE,M,Ziff,Dirk,5700,1964,4,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
445,Finance & Investments,Robert Ziff,United States,New York,Investments,Finance & Investments,FALSE,M,Ziff,Robert,5700,1966,8,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
455,Energy,Ray Lee Hunt,United States,Dallas,"Oil, real estate",Energy,FALSE,M,Hunt,Ray Lee,5600,1943,4,6,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
455,Logistics,Lai Meisong,China,Shanghai,Package delivery,Logistics,TRUE,M,Lai,Meisong,5600,1970,12,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
455,Automotive,Vikram Lal & family,India,Delhi,Motorcycles,Automotive,FALSE,M,Lal,Vikram,5600,1942,3,5,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
455,Finance & Investments,Ken Langone,United States,Sands Point,Investments,Finance & Investments,TRUE,M,Langone,Ken,5600,1935,9,16,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
455,Healthcare,Li Ge,China,Shanghai,Pharmaceutical ingredients,Healthcare,TRUE,M,Li,Ge,5600,1967,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
455,Finance & Investments,Karen Pritzker,United States,Branford,"Hotels, investments",Finance & Investments,FALSE,F,Pritzker,Karen,5600,1958,1,7,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
455,Service,Robert Rowling,United States,Dallas,"Hotels, investments",Service,FALSE,M,Rowling,Robert,5600,1953,9,26,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
455,Gambling & Casinos,Teddy Sagi,Israel,Tel Aviv,Gambling software,Gambling & Casinos,TRUE,M,Sagi,Teddy,5600,1971,11,1,108.15,"$395,098,666,122 ",82.8,23.1,25.3,9053300,
455,Healthcare,Seo Jung-jin,South Korea,Seoul,Biotech,Healthcare,TRUE,M,Seo,Jung-jin,5600,1957,10,23,115.16,"$2,029,000,000,000 ",82.6,15.6,33.2,51709098,
455,Automotive,Wu Jianshu,China,Ningbo,Auto parts,Automotive,TRUE,M,Wu,Jianshu,5600,1964,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
466,Service,Micky Arison,United States,Bal Harbour,Carnival Cruises,Service,FALSE,M,Arison,Micky,5500,1949,6,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
466,Media & Entertainment,James Chambers,United States,Palisades,"Media, automotive",Media & Entertainment,FALSE,M,Chambers,James,5500,1957,4,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
466,Technology,John Collison,United States,San Francisco,Payments software,Technology,TRUE,M,Collison,John,5500,1990,8,6,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
466,Technology,Patrick Collison,United States,San Francisco,Payment software,Technology,TRUE,M,Collison,Patrick,5500,1988,9,9,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
466,Manufacturing,Archie Aldis Emmerson & family,United States,Redding,"Timberland, lumber mills",Manufacturing,TRUE,M,Emmerson,Archie Aldis,5500,1929,4,10,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
466,Automotive,Piero Ferrari,Italy,Modena,Automobiles,Automotive,FALSE,M,Ferrari,Piero,5500,1945,5,22,110.62,"$2,001,244,392,042 ",82.9,24.3,59.1,60297396,
466,Automotive,Dan Friedkin,United States,Houston,Toyota dealerships,Automotive,FALSE,M,Friedkin,Dan,5500,1965,2,27,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
466,Diversified,James Irving,Canada,Saint John,Diversified,Diversified,FALSE,M,Irving,James,5500,1928,3,20,116.76,"$1,736,425,629,520 ",81.9,12.8,24.5,36991981,
466,Manufacturing,Jiang Weiping & family,China,Chengdu,Chemicals,Manufacturing,TRUE,M,Jiang,Weiping,5500,1955,3,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
466,Healthcare,Wolfgang Marguerre & family,Germany,Heidelberg,Pharmaceuticals,Healthcare,TRUE,M,Marguerre,Wolfgang,5500,1941,6,4,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
466,Finance & Investments,Ludwig Merckle,Germany,Ulm,Pharmaceuticals,Finance & Investments,FALSE,M,Merckle,Ludwig,5500,1965,1,1,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
466,Manufacturing,Mitchell Rales,United States,Potomac,"Manufacturing, investments",Manufacturing,TRUE,M,Rales,Mitchell,5500,1956,8,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
466,Media & Entertainment,Katharine Rayner,United States,East Hampton,"Media, automotive",Media & Entertainment,FALSE,F,Rayner,Katharine,5500,1945,1,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
466,Finance & Investments,Paul Singer,United States,New York,Hedge funds,Finance & Investments,TRUE,M,Singer,Paul,5500,1944,8,22,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
466,Healthcare,Sergio Stevanato & family,Italy,Venice,Medical packaging,Healthcare,TRUE,M,Stevanato,Sergio,5500,1943,3,20,110.62,"$2,001,244,392,042 ",82.9,24.3,59.1,60297396,
466,Media & Entertainment,Margaretta Taylor,United States,Southampton,"Media, automotive",Media & Entertainment,FALSE,F,Taylor,Margaretta,5500,1942,4,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
466,Technology,Richard White,Australia,Sydney,Software,Technology,TRUE,M,White,Richard,5500,1955,4,1,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605,
466,Diversified,Zhao Yan,China,Beijing,Biotech,Diversified,TRUE,F,Zhao,Yan,5500,1967,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
486,Fashion & Retail,Patrizio Bertelli,Italy,Milan,Luxury goods,Fashion & Retail,TRUE,M,Bertelli,Patrizio,5400,1946,1,1,110.62,"$2,001,244,392,042 ",82.9,24.3,59.1,60297396,
486,Manufacturing,Mahendra Choksi & family,India,Mumbai,Paints,Manufacturing,FALSE,M,Choksi,Mahendra,5400,1941,4,19,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
486,Finance & Investments,Mat Ishbia,United States,Bloomfield Hills,Mortgage lender,Finance & Investments,FALSE,M,Ishbia,Mat,5400,1980,1,6,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
486,Technology,Leo Koguan,Singapore,Singapore,IT provider,Technology,TRUE,M,Koguan,Leo,5400,1955,2,15,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569,
486,Diversified,Miao Hangen,China,Suzhou,"Textiles, petrochemicals",Diversified,TRUE,M,Miao,Hangen,5400,1965,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
486,Manufacturing,Michael Pieper,Switzerland,Lucerne,Kitchen appliances,Manufacturing,TRUE,M,Pieper,Michael,5400,1946,2,5,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
486,Fashion & Retail,Miuccia Prada,Italy,Milan,Luxury goods,Fashion & Retail,FALSE,F,Prada,Miuccia,5400,1949,5,10,110.62,"$2,001,244,392,042 ",82.9,24.3,59.1,60297396,
486,Fashion & Retail,Wolfgang Reimann,Germany,Passau,Consumer goods,Fashion & Retail,FALSE,M,Reimann,Wolfgang,5400,1952,10,4,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
486,Fashion & Retail,Matthias Reimann-Andersen,Germany,Munich,Consumer goods,Fashion & Retail,FALSE,M,Reimann-Andersen,Matthias,5400,1965,3,30,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
486,Fashion & Retail,Stefan Reimann-Andersen,Austria,Vienna,Consumer goods,Fashion & Retail,FALSE,M,Reimann-Andersen,Stefan,5400,1963,7,13,118.06,"$446,314,739,528 ",81.6,25.4,51.4,8877067,
486,Fashion & Retail,Renate Reimann-Haas,Austria,Vienna,Consumer goods,Fashion & Retail,FALSE,F,Reimann-Haas,Renate,5400,1951,10,8,118.06,"$446,314,739,528 ",81.6,25.4,51.4,8877067,
497,Finance & Investments,Todd Boehly,United States,Darien,Finance,Finance & Investments,TRUE,M,Boehly,Todd,5300,1973,9,20,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
497,Real Estate,Rick Caruso,United States,Los Angeles,Real estate,Real Estate,TRUE,M,Caruso,Rick,5300,1959,1,7,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
497,Manufacturing,Ibrahim Erdemoglu,Turkey,Istanbul,Carpet,Manufacturing,TRUE,M,Erdemoglu,Ibrahim,5300,1962,9,26,234.44,"$754,411,708,203 ",77.4,17.9,42.3,83429615,
497,Manufacturing,Ibrahim Erdemoglu,Turkey,Istanbul,Carpet,Manufacturing,TRUE,M,Erdemoglu,Ibrahim,5300,1962,9,26,234.44,"$754,411,708,203 ",77.4,17.9,42.3,83429615,
497,Finance & Investments,Elizabeth Johnson,United States,Boston,Fidelity,Finance & Investments,FALSE,F,Johnson,Elizabeth,5300,1963,5,7,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
497,Finance & Investments,Douglas Leone,United States,Atherton,Venture capital,Finance & Investments,TRUE,M,Leone,Douglas,5300,1957,7,4,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
497,Diversified,Prajogo Pangestu,Indonesia,Jakarta,Petrochemicals,Diversified,FALSE,M,Pangestu,Prajogo,5300,1944,5,13,151.18,"$1,119,190,780,753 ",71.5,10.2,30.1,270203917,
497,Finance & Investments,Thomas Pritzker,United States,Chicago,"Hotels, investments",Finance & Investments,FALSE,M,Pritzker,Thomas,5300,1950,6,6,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
497,Food & Beverage,Lynda Resnick,United States,Beverly Hills,Agriculture,Food & Beverage,TRUE,F,Resnick,Lynda,5300,1943,1,2,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
497,Food & Beverage,Stewart Resnick,United States,Beverly Hills,Agriculture,Food & Beverage,TRUE,M,Resnick,Stewart,5300,1936,12,24,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
497,Service,Gary Rollins,United States,Atlanta,Pest control,Service,FALSE,M,Rollins,Gary,5300,1944,8,30,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
497,Finance & Investments,Mark Walter,United States,Chicago,"Finance, asset management",Finance & Investments,TRUE,M,Walter,Mark,5300,1960,5,22,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
497,Manufacturing,Ronald Wanek,United States,Saint Petersburg,Furniture,Manufacturing,TRUE,M,Wanek,Ronald,5300,1941,5,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
497,Food & Beverage,Erich Wesjohann & family,Germany,Visbek,Poultry genetics,Food & Beverage,TRUE,M,Wesjohann,Erich,5300,1945,6,2,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
497,Fashion & Retail,M.A. Yusuff Ali,United Arab Emirates,Abu Dhabi,Retail,Fashion & Retail,TRUE,M,Yusuff Ali,M.A.,5300,1955,11,15,114.52,"$421,142,267,938 ",77.8,0.1,15.9,9770529,
